P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08413274A0452|0 3|MDBP
P10393197A0543|0 3|DDP1
P10391903T0000|0 3|Gab2
P08647086A0622|0 3|Cdk2
P09918715A0304|0 3|MotA
P10381570A1355|0 3|Slp1
P10350454A0000|0 3|MutY
P07954891T0000|0 3|ERV1
P08621659A0189|0 3|Gas6
P08336698T0000|0 3|TFEC
P09844106A0835|0 3|Pyk2
P10086725A0000|0 3|MDS1
P09880543A0570|0 3|HEED
P01588961A0000|0 3|STP1
P09006051A1162|0 3|PrpB
P09020169A0552|0 3|SIM1
P09788739A1096|0 3|CKII
P09422351A0000|0 3|Ca2+
P09770378A0641|0 3|EGFR
P09447963A0223|0 3|Sip1
P09736697A1107|0 3|MEKs
P09560430A0000|0 3|Ime1
P09482902A0423|0 3|C.D2
P09584194A0000|0 3|HEF1
P09475724T0000|0 3|TOR2
P09443973A1028|0 3|CES4
P09286981A0147|0 3|ArgR
P07557424A0124|0 3|XYL1
P09079689A0472|0 3|MOP5
P01837842A1410|0 3|CREB
P09115279A0345|0 3|Cdc2
P08918885A0811|0 3|Kss1
P09162092A0675|0 3|MKK3
P07535593A0714|0 3|CD7+
P02779752A0000|0 3|1-(1
P02538720A0582|0 3|UbiA
P07499409A0367|0 3|TPBF
P01825027T0000|0 3|PAS1
P01459451A0478|0 3|GAL4
P07665477A0901|0 3|EsaR
P02125016A0145|0 3|PBSX
P07783641A0591|0 3|CodY
P07768953T0039|0 3|EEA1
P07791769A0826|0 3|ICP4
P07791760A0424|0 3|GnRH
P03036933A0774|0 3|ACTH
P04778129T0000|0 3|9,11
P07914192A0211|0 3|HER2
P07879204T0000|0 3|OKT3
P08012448T0000|0 3|INO2
P08048916A0000|0 3|IGF I
P08045431A0894|0 3|HupI
P07926748A0383|0 3|NOT4
P03062370A0000|0 3|GCN4
P03275867A0187|0 3|GRFI
P01098592A0567|0 2|IgG
P08396667T0000|0 2|BCR
P08668203A1230|0 2|FTF
P08649405T0000|0 2|Sp1
P08343216A0883|0 2|PPD
P08710377A0577|0 2|Cbl
P08721999A0727|0 2|U24
P02200315A0278|0 2|IgG
P08631908A0224|0 2|VDR
P08617238A0334|0 2|TNF
P09799237A0624|0 2|SRF
P09844921A0000|0 2|Raf
P09880103A0387|0 2|MPO
P09819110A0703|0 2|CD4
P10207087A0956|0 2|MEF
P01886774A0000|0 2|POU
P07585246T0000|0 2|SL1
P08836172A1382|0 2|RVR
P09006935A0590|0 2|Sp1
P09006914A0812|0 2|JNK
P09716183A1036|0 2|TBP
P09286115T0000|0 2|S2F
P09512550T0000|0 2|E1A
P09611234A0098|0 2|Rev
P09573378A0761|0 2|U73
P09639074A0707|0 2|Sp1
P09488491A0000|0 2|E2F
P09488441A0615|0 2|Sp1
P09455695A0762|0 2|ALT
P09230307A0329|0 2|FOG
P09308234A0225|0 2|Mnt
P09366517A0835|0 2|PKA
P09261397A0509|0 2|Gag
P09234703A0192|0 2|JNK
P09242506A1033|0 2|E2F
P09045636A0789|0 2|CD3
P01730412T0000|0 2|Max
P09121430A0132|0 2|Shc
P09182707A0254|0 2|SPP
P09178752A0574|0 2|EGF
P09165004A1700|0 2|SRE
P08918464A0225|0 2|STK
P09147420T0000|0 2|TAR
P08798782A0976|0 2|Lck
P01869565A1254|0 2|USF
P07538173A0307|0 2|MBP
P08128629A1164|0 2|CRS
P02552143A0748|0 2|VP5
P08199204A0746|0 2|H-7
P07982964A1017|0 2|ATX
P01321277A0664|0 2|ROS
P07629113A0726|0 2|SCA
P08566747A0756|0 2|SBF
P08542026A0792|0 2|DAF
P08392623A1374|0 2|IE2
P08293993A0948|0 2|ENV
P07937954A0612|0 2|HBx
P07951410A1332|0 2|E1A
P02269426A0428|0 2|IST
P10667597A0668|0 2|ZK7
P10773951A0000|0 2|IgM
P10767553A0100|0 2|Hex
P10918572A0794|0 2|VaI
P10866677A1839|0 2|Phd
P10858988A0786|0 2|ECP
P10817754T0000|0 2|H19
P11036939A2149|0 2|Dsh
P11012680A0676|0 2|Src
P10681520A0525|0 2|Ras
P11150315A1126|0 2|NGF
P11150315A0844|0 2|NGF
P10704410T0000|0 2|Clb
P10679065A0711|0 2|BCR
P10698516T0000|0 2|KFC
P01402647A0114|0 2|DR1
P07665948A0591|0 2|IgE
P10526670A0236|0 2|Rac
P11278440A0095|0 2|SV1
P07654239A0698|0 2|Max
P01653238A1715|0 2|TPA
P11313946A0449|0 2|RPM
P11292844A0081|0 2|HSF
P11376165T0000|0 2|FLP
P02969819A0814|0 2|Ig D
P11569900A0660|0 2|APC
P11433379A0000|0 2|SIT
P09990315A0205|0 2|TPO
P10413676A0000|0 2|FAK
P08131746A0140|0 2|MEK
P09915860A0119|0 2|Sp1
P10376991A0977|0 2|Ras
P10364163A0092|0 2|Hrs
P01518849A0165|0 1|NE
P09892642A0172|0 1|E1
P11777632A1678|0 1|AF
P11139567A1440|0 1|LH
P09148935A0805|0 1|FN
P09328476A0068|0 1|U4
P08555597A0808|0 1|Hb
P09813041A1122|0 1|GH
P10364319A0109|0 1|Cp
P09076336A0281|0 1|GH
P11882747A0354|0 1|CD
P07657668A0642|0 1|TH
P10400785A0912|0 1|SM
P07504171A0715|1 36|platelet-derived growth factor receptor
P02995967T0000|1 27|v-erbB-related protooncogene
P09422727A0196|1 27|cAMP-responsive element-like
P10962564A0883|1 26|beta2 RARE reporter construct
P02747653A0910|1 25|larval albumin-like protein
P09361007A0922|1 25|DNase I-hypersensitive site
P07651398T0000|1 24|Drosophila shc gene product
P09139737A0000|1 24|sterol-regulated protease
P01742606A0000|1 23|mouse brain beta-spectrin
P10958688A0265|1 23|Y. lipolytica Kar2p mutant
P07516866A0000|1 22|full-length PRL receptor
P07590268A0740|1 22|2.4-kb MAPKAPK-2 message
P07500950A0000|1 16|tobacco homologue
P08637717A1231|1 10|p21 peptide
P10498616A0157|1 10|G22V mutant
P02840376A0461|1 8|anti-IIa
P10229668A0560|1 7|cdc33-1
P10228157T0000|1 5|Bub2p
P09168623A0614|1 4|xylE
P07821790A1084|1 3|iv)
P09352016A1110|1 3|ii)
P10862289A0289|1 3|GUT
P09038192A0846|1 3|MEK
P08082440A0339a|1 2|LH
P09311810A0814|1 2|iv
P00555492A1034|1 1|5
P01947449A1082|1 1|2
P06165551A0793|1 1|2
P06070072T0052|1 1|3
P09949160A0600|1 1|2
P05892712T0034|1 1|3
P10454568A0815|1 1|i
P09140079A2528|1 1|3
P01241866A0682|1 1|5
P02335521T0000|2 40|NF1-related vitellogenin activator element
P11297419A0894|2 31|F222W:W21F rGST A1-1 double mutant
P01340470A0000|2 23|RNA-binding protein gene
P08621730T0000|2 20|AP-1 binding sequence
P08878044A1390|2 19|InlC deletion mutant
P08521717A0126|2 17|immunoperoxidase
P07499252A0150|2 16|hGM-CSF receptor
P09165118A0311|2 13|unc-4 mutants
P11134033A0639|2 13|int6 deletion
P07706291T0000|2 12|E box element
P09566871A0343|2 12|fus3 mutants
P09030688A0435|2 12|rlf2 mutants
P03194410A0771|2 11|UOxase mRNA
P02644735A0427|2 9|FP mutant
P07876192A0443|2 9|ICE gamma
P10438924A1009|2 8|insulin
P08628302A0683|2 7|hnRNP K
P10779508A0452|2 7|DNase I
P09819411A0897|2 7|DNase I
P02076816T0000|2 5|RME1
P09770493A0499|2 5|PP2A
P00050628A0202|2 4|IgG
P02482293A1518|2 4|TNF
P10512857A0000|2 4|Wnt
P09388201A1027|2 3|PU
P08172905A0000|3 73|class II Escherichia coli alanine tRNA synthetase aminoacylates RNA miniduplexes
P09694897T0000|3 55|heterogeneous nuclear ribonucleoprotein C protein tetramer
P07665605A1127|3 47|plasmin-derived D (approximately 105-kDa) product
P11027289A0000|3 45|Drosophila melanogaster suppressor of sable gene
P09813254A0000|3 44|human 2', 5'-oligoadenylate (2-5A) synthetases
P09729481A0000|3 43|rat branched-chain-2-oxo-acid dehydrogenase
P10195690A0000|3 43|peroxisome proliferator-activated receptors
P07751848A0222|3 42|carnitine palmitoyltransferase (CPT) I and II
P08529654A0589|3 41|B. germanica cyclophilin amino acid sequence
P09917387T0000|3 41|RNA polymerase III-recruiting factor TFIIIB
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P02549036A0000|3 38|Bacillus subtilis phage phi 105 repressor
P07565113A0000|3 38|chloramphenicol-resistance transposon
P10544088A0308|3 38|NF-kappaB responsive reporter construct
P09677330A0584|3 38|PDE4A-subfamily-specific linker region
P09121432A0000|3 37|Ras guanine nucleotide-binding protein
P09271417A1011|3 37|MCAD nuclear receptor response element 1
P02689439A0000|3 36|cytosolic glutathione S-transferases
P09169420A0000|3 36|mammalian phosphoinositide 3-kinases
P09765394A0000|3 36|Epstein-Barr virus transactivator Zta
P03143485A0366|3 36|Euglena ribosomal protein gene cluster
P08523545T0000|3 36|human papillomavirus type 16 E7 protein
P01845899A0000|3 35|adeno-associated virus (AAV) rep gene
P07592710T0000|3 35|interferon-inducible protein kinase
P09373140A0000|3 35|mouse M-lysozyme downstream enhancer
P07628438T0000|3 34|Drosophila insulin receptor homolog
P10438593A0000|3 34|human immunodeficiency virus type-1
P10826861A0000|3 34|monoclonal immunoglobulin products
P09409821T0000|3 34|Saccharomyces cerevisiae RAD30 gene
P01703632T0000|3 33|Drosophila suppressor of sable gene
P07862168A0000|3 33|interleukin 2 receptor alpha-chain
P02185140A0000|3 33|Saccharomyces cerevisiae 14DM gene
P02784507A0000|3 33|human immunodeficiency virus type 1
P02023097A0000|3 33|human immunodeficiency virus type 1
P08157009T0000|3 33|Saccharomyces cerevisiae APS1 gene
P02167467T0000|3 32|26S rRNA binding ribosomal protein
P03123310A0000|3 32|Drosophila melanogaster Gart gene
P09712297T0000|3 32|prothrombin gene G20210A mutation
P07862533A0000|3 31|Wilms' tumour suppressor protein
P09538220A0000|3 31|mitochondrial regulatory region
P09201946A0000|3 31|RNA-binding and RNA-DNA helicase
P10392903A0000|3 31|bovine papillomavirus E2 protein
P09566876A0000|3 31|general transcription factor IIA
P08207805A0000|3 31|p53 tumor suppressor gene product
P10542277A0000|3 31|importin alpha.beta heterodimer
P02627159A0899|3 30|antigen-specific IgG4 antibody
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P08882492A0000|3 30|mammalian homeodomain proteins
P09747873T0000|3 30|SH2-containing adapter protein
P08163183T0000|3 30|xylose isomerase-encoding gene
P08943032A0000|3 30|Escherichia coli tet-repressor
P01556068A0000|3 29|Klebsiella aerogenes gene maoA
P08349104A0000|3 29|Saccharomyces cerevisiae GAL1
P02545357A0000|3 29|mustard chloroplast gene rps16
P11152451A0529|3 29|Schistosoma mansoni homologue
P08816498A0000|3 29|serine/threonine kinase Raf-1
P02034655A1224|3 28|alpha 4 gene 5' flanking region
P08396120A0690|3 28|rhaB transcription start site
P10810083A1283|3 28|serine-threonine kinase gene
P10972990A0196|3 28|tumor-suppressor protein p53
P06324121A0256|3 28|12,000 MW (12K) IE polypeptide
P08385131A0000|3 28|alpha 2A-adrenergic receptor
P01545792A0000|3 27|cardiac myosin light chain-2
P07958446A0000|3 27|hepatocyte nuclear factor-3
P08039422A0000|3 27|nerve growth factor beta gene
P11006284T0000|3 27|protein-tyrosine kinase fer
P09852068A0150b|3 27|human SHBG proximal promoter
P10383966A0000|3 27|penicillin binding proteins
P09368100A1354|3 27|mHIF-1 alpha structural gene
P08148463A0000|3 27|colony-stimulating factors
P07592771A0258|3 27|mouse beta 2-syntrophin gene
P09515924A0553|3 26|PDH complex-encoding genes
P01852603A0000|3 25|rad9.192 DNA repair mutant
P09858572A0000|3 25|yeast retrotransposon Ty5
P08101843A0151|3 25|tyrosine hydroxylase gene
P08382303A0507|3 25|E1 nuclear transport motif
P06308536T0001|3 25|hepatitis A virus antibody
P02466665A0202|3 25|small IGF-binding protein
P02247072A0794|3 25|SUP44 suppressor mutation
P02967496A0182|3 25|cpc-1-encoded transcript
P02685331A0523|3 24|R. meliloti nifH promoter
P08415637A0000|3 24|ADP-ribosylation factor
P10918612A0000|3 24|transcription factor Jun
P09488486A0000|3 24|TATA box-binding protein
P10385395A0000|3 24|high density lipoprotein
P01826043A0431|3 23|pp90rsk-protein kinase
P03346210A0000|3 23|epidermal growth factor
P02164585A0416|3 23|TraD protein (83,899 Da)
P08816759A0000|3 23|retinoid Z receptor beta
P09016566A0655|3 23|Y-type structural motif
P10640701T0000|3 23|Pax2/5/8-binding sites
P10613863T0000|3 23|VirR response regulator
P06094591A0000|3 23|envelope glycoproteins
P06090458A0407|3 23|PEPCK promoter fragment
P02083253A1512|3 23|TCF-1 alpha binding site
P08485317A0000|3 23|fission yeast dsk1+ gene
P08442384T0000|3 23|SCH9 protein kinase mRNA
P11454703A0000|3 23|telomerase RNA-protein
P08769132A0000|3 23|human MSH-2 gene product
P01717833A1223|3 22|alpha inhibin promoter
P10708769A0433|3 22|Mif1 5' flanking region
P11007954A0170|3 22|growth factor receptor
P11368363A1103|3 22|human protein sequence
P10438924T0000|3 22|B cell antigen receptor
P01633435A0743|3 21|DRF-2 nuclear protein
P02280777T0000|3 21|uteroglobin promoter
P08534855A0000|3 21|Arabidopsis FAD7 gene
P09301350A0946|3 21|sputum interleukin-8
P11235817A0000|3 21|histamine H1 receptor
P08065338T0000|3 21|Oct-2 glutamine-rich
P09590540A0513|3 21|bZP2 cDNA (115-1914 nt
P10022925A0870|3 21|Nmd3 protein sequence
P05471866T0000|3 21|plasma growth hormone
P07927130A0625|3 21|hyperimmunoglobulin
P01549346A0000|3 20|c-Ets-1 oncoprotein
P07592647A0797|3 20|single-stranded DNA
P09537375A0198|3 20|gntR deletion mutant
P09129147A0644|3 20|Jem peptide sequence
P01647070A0232|3 20|mutant JCV T antigens
P09057840A0946|3 20|recombinant protein
P09323366A0000|3 20|malate synthase gene
P10036191A0000|3 20|microphthalmia-TFE
P10861906A0999|3 20|delta srb10 mutation
P09819430A0000|3 20|Ras-related GTPases
P07622058A0411|3 20|PEBP2 alpha proteins
P08289783A0000|3 20|Oct-3/4 gene product
P09843378A0187|3 20|dopamine D4 receptor
P08021175A0486|3 20|pexB upstream region
P02154599T0000|3 19|zta transactivator
P10660069A0819|3 19|rrd1,2delta mutant
P02868446A0184|3 19|C-terminal domains
P08530342T0000|3 19|human gp39 promoter
P02406570A0466|3 19|ABFI-binding sites
P10430886A0838|3 19|C-terminal mutants
P08087887A1067|3 19|polyubiquitin gene
P02532210A0000|3 19|adenovirus E1A gene
P10543730A0000|3 19|yeast C-type cyclin
P01837787T0000|3 18|murine Mov-34 gene
P08387994A0980|3 18|orf61 gene product
P08324107A0000|3 18|plasmatic albumin
P10556033A0000|3 18|RFX protein family
P09694860A0498|3 18|C-terminal region
P11181525T0000|3 18|androgen receptor
P11207216A0296|3 18|bovine PGHS-2 cDNA
P09219526A0383|3 18|Man9-mannosidase
P08771781A1103|3 18|ORFII gene product
P09524259A0301|3 18|hp55 gamma protein
P09003410A0000|3 18|human p100 protein
P11134033A0000|3 18|murine int-6 locus
P10650938T0000|3 18|estrogen receptor
P09801333A0174|3 18|full-length N gene
P07784199A0000|3 18|ribosomal protein
P07647303T0000|3 18|homeobox gene ATK1
P02237431A0833|3 18|Ets-1 binding site
P01398074A1081|3 17|RNase MRP RNA gene
P11241215A0566|3 17|mutant receptors
P08503348A0226|3 17|HMG CoA reductase
P09060623A0961|3 17|human coreceptor
P09421507A0000|3 17|SR protein family
P09368014A0740|3 17|lysozyme FEF site
P11070056A0704|3 17|Cili-2 sequences
P09029104A0226|3 17|14.1(IGLL1) gene
P07835886A0894|3 17|kallistatin gene
P01601181A0842|3 16|60A transcripts
P07559356T0000|3 16|hypBFCDE operon
P11278488T0000|3 16|v-Src SH3 domain
P01895384A0746|3 16|IE0 gene product
P10209031A0832|3 16|Fyn NH2 terminus
P10598101A0754|3 16|mEmBP-1 protein
P08183552T0000|3 16|human eps15 gene
P08660998A0851|3 16|mMIWC1 promoter
P02403926A0000|3 16|trk-2h oncogene
P10778740A1493|3 16|C-terminal Cdk2
P07553942A0810|3 16|pea rps10 intron
P09781874A1061|3 16|cwg2-1 mutation
P11500512A0000|3 16|human ABCG1 gene
P01711041A0962|3 15|C5 alpha-chain
P09858571T0000|3 15|yeast RER2 gene
P09862481A0000|3 15|Mig1 repressor
P06120429T0000|3 15|thyroglobulin
P10051400A0000|3 15|Lp mouse mutant
P10359673A0000|3 15|yeast LPD1 gene
P02022920A0334|3 15|C4BP alpha gene
P11179689A0000|3 15|Sox gene family
P08223425T0000|3 15|yeast SSS1 gene
P08491383A0154|3 15|alpha-subunit
P09201980A0910|3 15|p20-CGGBP gene
P09074508A0397|3 15|human CD38 gene
P08220494A0231|3 15|T-cyt promoter
P08623554A1058|3 15|17-kDa protein
P10997904A1258|3 15|Spo0F residues
P09003001A1909|3 15|E-box sequence
P08537403A0336|3 15|protein kinase
P10843716A0406|3 15|tryptase locus
P08567683A0401|3 15|human purH cDNA
P09467900A0701|3 15|CAPLC1 protein
P09705497A0227|3 15|yeast MMS2 gene
P07937106A0100|3 15|v-ets oncogene
P03137346A0319|3 15|nucleolin gene
P09698457A0976|3 15|mutant protein
P01824713A0964|3 15|12S E1A product
P01420363A0818|3 14|TIMP(-59/ -53
P09195923A0125|3 14|immunophilin
P08970984A0765|3 14|SCMV SNE sites
P10447597A1004|3 14|Cr.psbA-4 ORF
P07774807A0405|3 14|bHLH proteins
P08643111A0855|3 14|humanized LL2
P08576262A0160|3 14|IL-8 receptor
P07969116A0196|3 14|Nur77 protein
P02004705A0686|3 14|cdr1 sequence
P07473742A0187|3 14|protein ELT-1
P08262041A0727|3 14|phi AP3 factor
P11084334A0590|3 14|swa2-1 allele
P07797476A1001|3 14|RAP74 subunit
P07678051A1303|3 14|PDGFR mutants
P08749393A0783|3 14|PI3K_68D cDNA
P03007281A0905|3 13|Dox-A2 locus
P10369965A0000|3 13|Aa-Pri2 gene
P08702756A0000|3 13|small GTPase
P09111331A0119|3 13|Rlm1 protein
P09636708A0460|3 13|YccA protein
P10448095A0865|3 13|STAT protein
P09738010A0305|3 13|FAS promoter
P10458907A0543|3 13|human RAD30B
P08901135A1132|3 13|NIT2 protein
P08972182A0000|3 13|Fas receptor
P08977401A0227|3 13|RI alpha gene
P10777217A0536|3 13|p53-homolog
P09774662A0958|3 13|ARF promoter
P09264466A0947|3 13|Cut9 subunit
P01744042A1355|3 12|csbA fusion
P08584026A0115|3 12|hIGF-I gene
P08597636A0000|3 12|T-box motif
P09362499A0000|3 12|Fis protein
P10567524T0000|3 12|elm1 kinase
P09029159A0000|3 12|interferon
P09023197T0000|3 12|dnaK operon
P08232412A1342|3 12|lemdr1 gene
P03883541A0200|3 12|H2 receptor
P08574583A0658|3 12|Clb5 kinase
P08219081A0000|3 12|PRB-1b gene
P10455189A0427|3 12|calcitonin
P08412665A0000|3 12|scr regulon
P10715325A0834|3 12|AtERF genes
P03863231A0530|3 12|M-3 subtype
P11323716A0413|3 12|UBA domains
P10777669A0582|3 12|ZNF274 gene
P11331589A0113|3 12|MSL complex
P08682155A0902|3 12|euglobulin
P07514301A0000|3 12|interferon
P07947930A0499|3 12|fibrinogen
P07568026A0622|3 12|Stat5b mRNA
P11139567A1440|3 12|CG receptor
P08499916A0000|3 12|COL7A1 gene
P01457380A0000|3 11|tramtrack
P02674327A0493|3 11|p34.8 gene
P07857762A0611|3 11|MAP kinase
P10333526A0459|3 11|hTERT gene
P02187871T0000|3 11|ANB1 locus
P06698047A0445|3 11|Prolactin
P09528784A0000|3 11|mei4+ gene
P09380504A1255|3 11|ZnF20 cDNA
P09426239A0386|3 11|cglIM gene
P07677715A1076|3 11|TAF factor
P08226616A0000|3 11|nit-3 gene
P09754571A1257|3 11|hBRAG gene
P10773667A0351|3 11|HMG domain
P07731686A0000|3 11|TTG-2 gene
P09658405A0000|3 11|Dax-1 gene
P10066815T0000|3 11|SH2 domain
P01860846A0663|3 11|human cDNA
P11098217A0674|3 11|Aie1 locus
P08898893A0202|3 11|PAI-2 gene
P08914522A0118|3 11|STE20 gene
P08125319A1085|3 11|ipiO genes
P08393143A1281|3 11|Sp1 region
P08524294A0652|3 11|skp1+ gene
P08668124A0744|3 11|Dox-A2 ORF
P02970061A0271|3 11|RAD18 gene
P07798134T0000|3 11|hsp70 gene
P02300577A0852|3 11|beta chain
P08496157A0000|3 11|bcl-2 gene
P07779812A0000|3 11|c-myc gene
P08486705A0181|3 11|yeast gene
P01316476A1428|3 10|ORF 4 gene
P07854130T0000|3 10|pilE gene
P11073954A0337|3 10|Psc2 cDNA
P02023904A0120|3 10|CDC7 gene
P01569945A0529|3 10|SEN1 gene
P11152070A0573|3 10|actA gene
P07890740A0997|3 10|PSD2 gene
P07890674A0916|3 10|catenins
P02247069A0261|3 10|TUP1 gene
P10207049A0693|3 10|GAC1 gene
P02121371T0000|3 10|NF1 locus
P08063108A0109|3 10|acfD gene
P08633855A1064|3 10|lacS gene
P08413186A1199|3 10|Ntl1 gene
P09727046A0784|3 10|CBF1 site
P08878037A0000|3 10|gene ccpA
P08007975A0000|3 10|IPL1 gene
P03280021A1615|3 10|SSB-poly
P02473907A1338|3 10|84.1C mAb
P11031252A0646|3 10|LMW FGF-2
P02163394T0000|3 10|sacT gene
P02038326A0538|3 10|gcd2-503
P07813466A0074|3 10|U14 genes
P07626806A1098|3 10|RAT3 gene
P02138915A1060|3 9|p36 gene
P07592658A0309|3 9|insulin
P03065610A0375|3 9|rci gene
P08542027A1471|3 9|XS2 gene
P07964624A0491|3 9|P131 ORF
P08934540A0673|3 9|nm23-H1
P03040403A0155|3 9|PSS gene
P08209772A0167|3 9|ns2 gene
P10652800A0984|3 9|insulin
P09294422A1376|3 9|por gene
P09427544A0000|3 9|pel gene
P09049306A0830|3 9|HBP gene
P10801860A0000|3 9|Siglecs
P09005979A0841|3 9|GHR mRNA
P09328476A0068|3 9|U6 snRNP
P10330396A0387|3 9|RanQ69L
P11355576A1125|3 9|cyclins
P07926774A0652|3 9|p73pct1
P10564593A1618|3 9|MXR gene
P07933116A0412|3 9|p55 mRNA
P02148799A0000|3 9|nmr gene
P01325386A0766|3 8|hit1-1
P07835088A0238|3 8|HSD3B1
P11691585T0000|3 8|hcKrox
P07508954A0000|3 8|avidin
P08429019A0735|3 8|DNase I
P11014821T0000|3 8|LAMMER
P01657249A1019|3 8|anti-I
P08820642A0173|3 8|harpin
P08514766A0732|3 8|GTPase
P11244568A0506|3 8|Gap69C
P09202669A0614|3 8|pWP-19
P08985415A1096|3 8|STAT-1
P08415643A0555|3 8|E1 gene
P08876167A0717|3 8|HiNF-D
P01573270A0000|3 8|IA4 mAb
P03001645A0785|3 7|pet56
P09426068A0826|3 7|c-myc
P10936051T0000|3 7|RS447
P09861365A0000|3 7|Og4C3
P08134108A0277|3 7|c-myc
P09655248A0000|3 7|gp330
P07752223A0960|3 7|Myc LZ
P01545818A0696|3 6|p130
P08001792A0284|3 6|git1
P08828152A1825|3 6|RPO1
P10611228A1388|3 6|DAP5
P09241232A0653|3 6|Ogg1
P08524314A0216|3 6|TEA1
P10076007A0656|3 6|MSY2
P08647086A0720|3 6|Cdk2
P08278548A0597|3 6|psaD
P06316347A0852|3 6|dnaQ
P09132061A0828|3 6|atp 1
P07546294A0000|3 6|RAD6
P08768374A0765|3 6|P-wr
P08021177A0000|3 6|fepA
P01615493A0408|3 6|HC II
P08206848A0296|3 6|pyrR
P08483412A0000|3 6|nifJ
P08740416A0919|3 6|SEB1
P01549123A0480|3 6|MET4
P07730273A1309|3 6|NarX
P07533880T0000|3 6|FinO
P01383690A1023|3 5|ARG
P01780235A0094|3 5|EPO
P08302589A1132|3 5|HGF
P08948440A0628|3 5|ERH
P10728986A0000|3 5|Wnt
P09763446A1234|3 5|GEF
P08835895A1292|3 5|CD4
P11069999A1602|3 5|U17
P07720710A0861|3 5|Oct
P11080796A1277|3 5|Tax
P09220177A0564|3 5|CPK
P10467403A0000|3 5|Trk
P01710979T0000|3 5|SH2
P09528770A1379|3 5|RAS
P09325135A0737|3 5|Trx
P10487217A0735|3 5|C2C
P10597232A0000|3 5|RET
P07876300A0994|3 5|p97
P07326596A0061|3 5|IgA
P09346925A0660|3 5|SH3
P09343432A0209|3 5|Scm
P07657668A0642|3 5|SH3
P01422265A0263|3 5|IgG
P02170687A0000|3 4|E6
P07730337A1439|3 4|Ng
P11179687A1118|3 4|Ig
P02424743A0280|3 4|N1
P11433379A0000|4 46|SHP2-interacting transmembrane adaptor protein
P07567980T0000|4 31|p53 DNA-binding domain peptides
P07659515T0000|4 25|non-LTR retrotransposon
P11570820T0000|4 24|casein kinase I isoforms
P09888994A0858|4 21|Tbx6-subfamily gene
P03443144A0409|4 18|aspirin esterase
P09611234A0098|4 17|erbAalpha/beta
P02556264A0278|4 16|TC-II enhanson
P08514757A1100|4 16|immunophilins
P02997622A0916|4 16|L-myc sequence
P02480959A0470|4 15|P-450scc mRNA
P10704410T0000|4 15|Cdc28 kinases
P09892642A0172|4 14|DNA helicase
P10333529A0277|4 14|betaAPP mRNA
P07538173A0307|4 13|Rep68 delta
P08564488A1359|4 13|fibrinogen
P08621661A1035|4 12|P5CDh cDNA
P07500953A0305|4 11|ADR1 gene
P08522530A1342|4 11|nifA mRNA
P01309894A0807|4 8|Rep78
P09858599A0392|4 8|NUP98
P09867253A0229|4 8|c-Jun
P10955913A0827|4 8|HIT II
P08995681A0518|4 8|ICP27
P09020138A0833|4 7|HEF1
P10681520A0525|4 7|GRF1
P11313946A0449|4 7|RGL3
P01321277A0664|4 6|SRC
P02487898A0315|4 6|NGF
P08392623A1374|4 6|IE2
P08396667T0000|4 6|ABL
P08604338A0198|4 6|EWS
P08918464A0225|4 6|RON
P07891708A0690|4 6|Epo
P08631908A0224|4 6|RXR
P09308234A0225|4 6|Max
P08858211A0694|4 6|GAP
P01524549A0241|4 5|GH
